dataset,model,mode,tail_it1_pct,tail_it2_pct,tail_it3_pct,tail_it4_pct,tail_it5_pct,head_it1_pct,head_it2_pct,head_it3_pct,head_it4_pct,head_it5_pct,overall_it1_pct,overall_it2_pct,overall_it3_pct,overall_it4_pct,overall_it5_pct,it1_tail_gap,it1_head_gap,it2_tail_gap,it2_head_gap,it3_tail_gap,it3_head_gap,it4_tail_gap,it4_head_gap,it5_tail_gap,it5_head_gap,overall_trend_pp,final_overall_pct
FB13,rotate,add,46.00,32.30,18.10,14.10,12.10,36.40,14.00,9.00,36.60,15.20,41.20,23.10,13.60,25.30,13.70,,,,,,,,,,,-27.50,13.70
YAGO3-10,boxe,add,26.00,24.10,23.80,23.00,20.60,17.80,16.80,16.80,16.70,16.20,21.90,20.50,20.30,19.80,18.40,,,,,,,,,,,-3.50,18.40
YAGO3-10,complex,add,46.30,27.10,24.30,22.60,21.10,34.00,27.90,32.30,26.20,27.10,40.10,27.50,28.30,24.40,24.10,,,,,,,,,,,-16.00,24.10
YAGO3-10,hake_both,add,80.40,23.90,20.20,17.90,16.90,31.70,26.80,22.10,27.80,22.30,56.00,25.40,21.20,22.90,19.60,,,,,,,,,,,-36.40,19.60
YAGO3-10,hole,add,25.70,21.60,20.80,18.90,17.70,20.00,18.90,24.60,21.40,26.80,22.80,20.20,22.70,20.10,22.20,,,,,,,,,,,-0.60,22.20
YAGO3-10,quate,add,61.60,23.20,18.80,16.00,14.40,51.30,37.90,40.00,41.10,34.70,56.50,30.60,29.40,28.50,24.60,,,,,,,,,,,-31.90,24.60
YAGO3-10,rotate,add,10.80,10.10,9.40,8.20,7.40,23.10,16.00,17.50,17.40,18.80,16.90,13.00,13.40,12.80,13.10,,,,,,,,,,,-3.80,13.10
YAGO3-10,rotpro,add,10.20,8.60,7.20,6.80,6.00,22.50,14.30,20.60,21.70,21.40,16.30,11.50,13.90,14.20,13.70,,,,,,,,,,,-2.60,13.70
YAGO3-10,toruse_eL2,add,19.50,17.70,16.00,14.60,14.70,16.50,15.80,15.80,17.50,18.50,18.00,16.80,15.90,16.10,16.60,,,,,,,,,,,-1.40,16.60
YAGO3-10,transe,add,32.60,33.60,33.30,32.80,32.20,7.00,6.40,6.50,6.80,7.90,19.80,20.00,19.90,19.80,20.10,,,,,,,,,,,0.30,20.10
YAGO3-10,tucker,add,30.90,26.60,24.70,23.20,22.20,32.50,30.60,34.10,27.90,27.60,31.70,28.60,29.40,25.60,24.90,,,,,,,,,,,-6.80,24.90
FB13,rotpro,add,4.70,4.60,5.20,5.70,5.80,4.80,8.00,8.20,6.80,6.70,4.80,6.30,6.70,6.20,6.20,,,,,,,,,,,1.40,6.20
BioKG,boxe,replace,60.60,46.10,54.50,46.10,54.50,38.40,48.00,48.30,48.00,48.30,49.50,47.10,51.40,47.10,51.40,,,,,,,,,,,1.90,51.40
BioKG,complex,replace,37.60,47.50,48.00,47.50,48.00,66.30,58.90,58.20,58.90,58.20,52.00,53.20,53.10,53.20,53.10,,,,,,,,,,,1.10,53.10
BioKG,hake_both,replace,28.50,49.70,49.60,49.70,49.60,73.90,62.30,59.40,62.30,59.40,51.20,56.00,54.50,56.00,54.50,,,,,,,,,,,3.30,54.50
BioKG,hole,replace,37.50,49.40,48.30,49.40,48.30,71.90,59.40,60.30,59.40,60.30,54.70,54.40,54.30,54.40,54.30,,,,,,,,,,,-0.40,54.30
BioKG,quate,replace,35.30,43.40,45.50,43.40,45.50,67.90,64.70,63.10,64.70,63.10,51.60,54.10,54.30,54.10,54.30,,,,,,,,,,,2.70,54.30
BioKG,rotate,replace,20.80,62.10,33.00,62.10,33.00,73.70,42.20,62.30,42.20,62.30,47.20,52.20,47.60,52.20,47.60,,,,,,,,,,,0.40,47.60
BioKG,rotpro,replace,19.40,52.90,35.50,52.90,35.50,73.20,50.60,65.60,50.60,65.60,46.30,51.80,50.60,51.80,50.60,,,,,,,,,,,4.30,50.60
BioKG,toruse_eL2,replace,18.60,61.70,35.80,61.70,35.80,74.50,40.50,59.30,40.50,59.30,46.60,51.10,47.60,51.10,47.60,,,,,,,,,,,1.00,47.60
BioKG,transe,replace,20.30,48.60,51.20,48.60,51.20,71.70,56.10,47.50,56.10,47.50,46.00,52.40,49.40,52.40,49.40,,,,,,,,,,,3.40,49.40
BioKG,tucker,replace,32.30,46.70,51.20,46.70,51.20,69.30,63.20,63.80,63.20,63.80,50.80,55.00,57.50,55.00,57.50,,,,,,,,,,,6.70,57.50
FB13,toruse_eL2,add,4.10,4.00,3.60,3.50,3.50,22.20,37.60,19.10,29.10,30.30,13.20,20.80,11.30,16.30,16.90,,,,,,,,,,,3.70,16.90
BioKG,boxe,add,60.40,58.60,57.40,57.60,57.00,38.30,37.20,37.00,36.80,36.90,49.30,47.90,47.20,47.20,47.00,,,,,,,,,,,-2.30,47.00
BioKG,complex,add,37.50,35.40,36.20,34.80,32.90,66.30,64.00,62.90,61.10,60.40,51.90,49.70,49.50,48.00,46.70,,,,,,,,,,,-5.20,46.70
